SubjectCode,Session,Topic,Learning-Teaching Type,LO,ITU,Student Materials,S-Download,Student's Tasks,URLs
VOV114,6,* Ôn tập và hoàn thiện kỹ thuật đã học.Review and improve techniques that have been learned.*  Giới thiệu kỹ thuật bộ đấm:Introduce punch techniques:+ Đấm thẳng;Straight punch;+ Đấm thấp;Low punch;+ Đấm lao.Long punch.* Thể lực.Physical strength.,Offline,,,,,* Ôn tập các kỹ thuật căn bản đã học.Review basic techniques that have been learned.* Rèn luyện thể lực.Strength training.,
VOV114,7,* Ôn tập và hoàn thiện kỹ thuật đã học.Review and improve techniques that have been learned.*  Giới thiệu kỹ thuật bộ đấm:Introduce punch techniques:+ Đấm móc;Hook punch;+ Đấm múc;Upper Cut punch;* Thể lực.Physical strength,Offline,,,,,* Ôn tập các kỹ thuật căn bản đã học.Review basic techniques that have been learned.* Rèn luyện thể lực.Strength training.,
VOV114,8,* Ôn tập và hoàn thiện kỹ thuật đã học.Review and improve basic techniques that have been learned.* Giới thiệu kỹ thuật bộ đấm:Introduce punch techniques:+ Đấm bật ngược;Back punch;+ Đấm phạt ngang;Hammer punch;* Thể lực.Physical strength.,Offline,,,,,* Ôn tập các kỹ thuật căn bản đã học.Review basic techniques that have been learned.* Rèn luyện thể lực.Strength training.,
VOV114,9,* Ôn tập và hoàn thiện kỹ thuật đã học.Review and improve basic techniques that have been learned.*Giới thiệu kỹ thuật bộ gạt:Introduce block techniques:+ Gạt số 1;Block 1+ Gạt số 2.Block 2* Thể lực.Physical strength,Offline,,,,,* Ôn tập các kỹ thuật căn bản đã học.Review basic techniques that have been learned.* Rèn luyện thể lực.Strength training.,
VOV114,10,* Ôn tập và hoàn thiện kỹ thuật đã học.Review and improve basic techniques that have been learned.*Giới thiệu kỹ thuật bộ gạt:Introduce block techniques:+ Gạt số 3;Block 3+ Gạt số 3.Block 4* Thể lực.Physical strength,Offline,,,,,* Ôn tập các kỹ thuật căn bản đã học.Review basic techniques that have been learned.* Rèn luyện thể lực.Strength training.,
VOV114,11,* Ôn tập và hoàn thiện kỹ thuật đã học.Review and improve techniques that have been learned.*Giới thiệu kỹ thuật bộ chỏ:Introduce elbow techniques:+ Chỏ số 1;Elbow strike 1;+ Chỏ số 2.Elbow strike 2.* Thể lực.Physical strength.,Offline,,,,,* Ôn tập các kỹ thuật căn bản đã học.Review basic techniques that have been learned.* Rèn luyện thể lực.Strength training.,
VOV114,12,* Ôn tập và hoàn thiện kỹ thuật đã học.Review and improve techniques that have been learned.*Giới thiệu kỹ thuật bộ chỏ:Introduce elbow techniques:+ Chỏ số 3;Elbow strike 3;+ Chỏ số 4.Elbow strike 4.* Thể lực.Physical strength.,Offline,,,,,* Ôn tập các kỹ thuật căn bản đã học.Review basic techniques that have been learned.* Rèn luyện thể lực.Strength training.,
VOV114,13,* Ôn tập và hoàn thiện kỹ thuật đã học.Review and improve techniques that have been learned.* Giới thiệu và phân tích kỹ thuật bộ đá:Introduce and analyse kick techniques:+ Kỹ thuật đá thẳngStraight kick technique* Thể lực.Physical strength.,Offline,,,,,* Ôn tập các kỹ thuật căn bản đã học.Review basic techniques that have been learned.* Rèn luyện thể lực.Strength training.,
VOV114,14,* Ôn tập và hoàn thiện kỹ thuật đã học.Review and improve techniques that have been learned.* Giới thiệu và phân tích kỹ thuật bộ đá:Introduce and analyse kick techniques:+ Kỹ thuật đá thẳngStraight kick technique* Thể lực.Physical strength.,Offline,,,,,* Ôn tập các kỹ thuật căn bản đã học.Review basic techniques that have been learned.* Rèn luyện thể lực.Strength training.,
VOV114,15,* Ôn tập và hoàn thiện kỹ thuật đã học.Review and improve techniques that have been learned.* Giới thiệu và phân tích kỹ thuật đá cạnh.Introduce and analyze crescent kick technique.* Thể lực.Physical strength.,Offline,,,,,* Ôn tập các kỹ thuật căn bản đã học.Review basic techniques that have been learned.* Rèn luyện thể lực.Strength training.,
VOV114,16,* Ôn tập và hoàn thiện kỹ thuật đã học.Review and improve techniques that have been learned.* Hoàn thiện kỹ thuật đá cạnh.Improve crescent kick technique.* Thể lực.Physical strength.,Offline,,,,,* Ôn tập các kỹ thuật căn bản đã học.Review basic techniques that have been learned.* Rèn luyện thể lực.Strength training.,
VOV114,17,* Ôn tập và hoàn thiện kỹ thuật đã học.Review and improve techniques that have been learned.* Giới thiệu và phân tích kỹ thuật đá tạt.Introduce and analyze roundhouse kick techniques.* Thể lực.Physical strength.,Offline,,,,,* Ôn tập các kỹ thuật căn bản đã học.Review basic techniques that have been learned.* Rèn luyện thể lực.Strength training.,
VOV114,18,* Ôn tập và hoàn thiện kỹ thuật đã học.Review and improve techniques that have been learned.* Hoàn thiện kỹ thuật đá tạt.Improve roundhouse kick technique.* Thể lực.Physical strength.,Offline,,,,,* Ôn tập các kỹ thuật căn bản đã học.Review basic techniques that have been learned.* Rèn luyện thể lực.Strength training.,
VOV114,19,* Ôn tập và hoàn thiện kỹ thuật đã học.Review and improve techniques that have been learned.* Giới thiệu và phân tích kỹ thuật đá đạp.Introduce and analyse side kick  technique.* Thể lực.Physical strength.,Offline,,,,,* Ôn tập các kỹ thuật căn bản đã học.Review basic techniques that have been learned.* Rèn luyện thể lực.Strength training.,
VOV114,20,* Ôn tập và hoàn thiện kỹ thuật đã học.Review and improve techniques that have been learned.* Hoàn thiện kỹ thuật đá đạp.Improve side kick  technique.* Thể lực.Physical strength.,Offline,,,,,* Ôn tập các kỹ thuật căn bản đã học.Review basic techniques that have been learned.* Rèn luyện thể lực.Strength training.,
VOV114,21,* Ôn tập và hoàn thiện kỹ thuật đã học.Review and improve techniques that have been learned.* Hệ thống kỹ thuật bộ đá.Review kick techniques.* Bài tập thể lực linh hoạt.Flexible exercises on physical strength,Offline,,,,,* Ôn tập các kỹ thuật căn bản đã học.Review basic techniques that have been learned.* Rèn luyện thể lực.Strength training.,
VOV114,22,* Ôn tập và hoàn thiện kỹ thuật đã học.Review and improve techniques that have been learned.* Giới thiệu và phân tích kỹ thuật phản đòn đấm thẳng phảiIntroduce and analyze technique on counter attack straight right punch.* Thể lực.Physical strength.,Offline,,,,,* Ôn tập các kỹ thuật căn bản đã học.Review basic techniques that have been learned.* Rèn luyện thể lực.Strength training.,
VOV114,23,"* Ôn tập và hoàn thiện kỹ thuật đã học.Review and improve techniques that have been learned.* Hoàn thiện kỹ thuật phản đòn đấm thẳng phảiImprove technique on counter attack straight right punch.* Bài tập ghép đôi, chia nhómPair exercises, group exercise* Thể lực.Physical strength.",Offline,,,,,* Ôn tập các kỹ thuật căn bản đã học.Review basic techniques that have been learned.* Rèn luyện thể lực.Strength training.,
VOV114,24,* Ôn tập và hoàn thiện kỹ thuật đã học.Review and improve techniques that have been learned.* Giới thiệu và phân tích kỹ thuật phản đòn đấm lao phải.Introduce and analyse technique on counter attack long right punch.* Thể lực.Physical strength.,Offline,,,,,* Ôn tập các kỹ thuật căn bản đã học.Review basic techniques that have been learned.* Rèn luyện thể lực.Strength training.,
VOV114,25,"* Ôn tập và hoàn thiện kỹ thuật đã học.Review and improve techniques that have been learned.* Hoàn thiện kỹ thuật phản đòn đấm lao phảiImprove technique on counter attack long right punch* Bài tập ghép đôi, chia nhómPair exercises, group exercise* Thể lực.Physical strength.",Offline,,,,,* Ôn tập các kỹ thuật căn bản đã học.Review basic techniques that have been learned.* Rèn luyện thể lực.Strength training.,
VOV114,26,* Ôn tập và hoàn thiện kỹ thuật đã học.Review and improve techniques that have been learned.* Giới thiệu và phân tích kỹ thuật phản đòn đấm múc phảiIntroduce and analyze technique on counter attack right uppercut punch.* Thể lực.Physical strength.,Offline,,,,,* Ôn tập các kỹ thuật căn bản đã học.Review basic techniques that have been learned.* Rèn luyện thể lực.Strength training.,
VOV114,27,"* Ôn tập và hoàn thiện kỹ thuật đã học.Review and improve techniques that have been learned.* Hoàn thiện kỹ thuật phản đòn đấm múc phảiImprove technique on counter attack right uppercut punch.* Bài tập ghép đôi, chia nhómPair exercises, group exercise* Thể lực.Physical strength.",Offline,,,,,* Ôn tập các kỹ thuật căn bản đã học.Review basic techniques that have been learned.* Rèn luyện thể lực.Strength training.,
VOV114,28,* Tổng ôn nội dung thi.Review,Offline,,,,,* Ôn tập các kỹ thuật căn bản đã học.Review basic techniques that have been learned.* Rèn luyện thể lực.Strength training.,
COV111,1,* Giới thiệu môn học Cờ Vua.Introduction to the subject of Chess.* Tri thức cơ bản trong Cờ Vua.Basic knowledge of Chess.* Đấu tập.Competition-style practice.,Offline,,,,,Ôn tập mỗi ngày 15-30 PhútReview and practice in 15-30 minutes per day,
COV111,2,* Tri thức cơ bản trong Cờ Vua.Basic knowledge of Chess.* Bài tập đòn phối hợp chiếu hết trong 1 nước.Exercise on combination to achieve checkmate in 1 move.* Đấu tậpCompetition-style practice.,Offline,,,,,Ôn tập mỗi ngày 15-30 PhútReview and practice in 15-30 minutes per day,
COV111,3,* Tri thức cơ bản trong Cờ Vua.Basic knowledge of Chess.* Bài tập đòn phối hợp chiếu hết trong 1 nước.Exercise on combination to achieve checkmate in 1 move.* Đấu tậpCompetition-style practice.,Offline,,,,,Ôn tập mỗi ngày 15-30 PhútReview and practice in 15-30 minutes per day,
COV111,4,* Tri thức cơ bản trong Cờ Vua.Basic knowledge of Chess.* Bài tập đòn phối hợp chiếu hết trong 1 nước.Exercise on combination to achieve checkmate in 1 move.* Đấu tậpCompetition-style practice.,Offline,,,,,Ôn tập mỗi ngày 15-30 PhútReview and practice in 15-30 minutes per day,
COV111,5,* Tri thức cơ bản trong Cờ Vua.Basic knowledge of Chess.* Bài tập đòn phối hợp chiếu hết trong 2 nước.Exercise on combination to achieve checkmate in 2 moves.* Đấu tậpCompetition-style practice.,Offline,,,,,Ôn tập mỗi ngày 15-30 PhútReview and practice in 15-30 minutes per day,
COV111,6,Mid-term test,Offline,,,,,,
COV111,7,* Giai đoạn tàn cuộcEndgame.* Bài tập cờ tàn kỹ thuật.Exercise on endgame strategy.* Đấu tập.Competition-style practice.,Offline,,,,,Ôn tập mỗi ngày 15-30 PhútReview and practice in 15-30 minutes per day,
COV111,8,* Giai đoạn tàn cuộcEndgame.* Bài tập cờ tàn kỹ thuật.Exercise on endgame strategy.* Đấu tập.Competition-style practice.,Offline,,,,,Ôn tập mỗi ngày 15-30 PhútReview and practice in 15-30 minutes per day,
COV111,9,* Giai đoạn tàn cuộcEndgame.* Bài tập cờ tàn kỹ thuật.Exercise on endgame strategy.* Đấu tập.Competition-style practice.,Offline,,,,,Ôn tập mỗi ngày 15-30 PhútReview and practice in 15-30 minutes per day,
COV111,10,* Giai đoạn tàn cuộc.Endgame* Bài tập chiếu hết trong 2 nước.Exercise on checkmate in 2 moves.* Đấu tập.Competition-style practice.,Offline,,,,,Ôn tập mỗi ngày 15-30 PhútReview and practice in 15-30 minutes per day,
COV111,11,* Giai đoạn tàn cuộc.Endgame* Bài tập chiếu hết trong 2 nước.Exercise on checkmate in 2 moves.* Đấu tập.Competition-style practice.,Offline,,,,,Ôn tập mỗi ngày 15-30 PhútReview and practice in 15-30 minutes per day,
COV111,12,* Giai đoạn tàn cuộc.Endgame* Bài tập chiếu hết trong 2 nước.Exercise on checkmate in 2 moves.* Đấu tập.Competition-style practice.,Offline,,,,,Ôn tập mỗi ngày 15-30 PhútReview and practice in 15-30 minutes per day,
DTR103,1,"Phần Lý thuyết/Theory section:1. Tìm hiểu về lịch sử, tên gọi của nhạc cụLearn about the history and names of the musical instrument2. Cấu tạo cây đànStructure of Dan Tranh3. Tư thế ngồi chơi đànThe playing posture4. Cách gảy đàn (tư thế tay phải, tư thế tay trái)How to pluck the strings (posture of right hand, posture of left hand)Phần thực hành/Practice section:1. Giáo viên làm mẫu kỹ thuật đầu tiênLecturer models how to play the first technique2. Hướng dẫn SV cách đeo, cầm móngInstruct students to wear and hold finger picks3. Thực hành kỹ thuật đầu tiên gảy ở tay phảiPractice the first technique of right hand plucking4. Chỉnh sửa tay cho SVCorrect hand posture and position for students",Offline,,,,,"Đọc cuốn sách học đàn phần hướng dẫn tư thế chơi đàn, tư thế tayRead the section on the playing posture and the posture of hands in the textbook",
DTR103,2,"1. Luyện tập tư thế gảy tay phảiPractice plucking posture of right-hand2. Giới thiệu một số kiểu lên dây thường dùngIntroduce commonly used tuning styles3. Nốt nhạc ứng với dây đànMusical note of each strings4. Luyện tập tư thế gảy tay phải, GV chỉnh sửa.Practice plucking posture of right-hand and lecturer corrects students' mistakes",Offline,,,,,,
DTR103,3,"1. Luyện gảy ngón 2 ( gảy lên, gảy xuống)Practice plucking with fingers No 2 (plucking up, plucking down)2. Luyện gảy ngón 1 (gảy lên, gảy xuống)Practice plucking with  finger No 1 (plucking up, plucking down)3. Kết hợp ngón 1&2Combination of fingers 1&2",Offline,,,,,"Đọc cuốn sách học đàn phần tư thế và cách gảy ngón.Read the section on the playing posture and how to pluck strings in the textbook.Đọc thuộc nốt nhac, giai điệu bài Vào rừng hoaMemorize musical notes and melody of the song Vao rung hoa",
DTR103,4,"1. Ôn lại kỹ thuật ngón 1&2Review plucking with fingers 1&2 techinque2. Luyện gảy ngón 3Practice plucking with fingers No 33. Kết hợp gảy ngón 1,2,3Combination of fingers 1,2, 34. Ca miệng bài đầu tiên Vào rừng hoaSing Vao rung hoa songCa thuộc từng câu sau đó thực hành vào đànMemorize lyrics and then practice plucking.",Offline,,,,,"Đọc cuốn sách học đàn phần tư thế và cách gảy ngón.Read the section on postures and how to pluck strings in the textbook.Đọc thuộc nốt nhac, giai điệu bài Vào rừng hoaMemorize musical notes and melody of the song Vao rung hoa",
DTR103,5,1. Học hệ thống nốt nhạc mớiLearn a new system of musical notes2. Học một số âm hình tiết tấu thường gặpLearn some common rhythmic syllables3. Vừa gảy vừa ca miệng nốt nhạc trên đànPluck and sing musical notes at the same time4. Học phần còn lại của bài Vào rừng hoaContinue to learn Vao rung hoa song,Offline,,,,,Học cách nhận biết nốt nhạc.Learn to recognize musical notes.,
DTR103,6,"1. Luyện tập đọc nốt nhạc, kết hợp ứng với những nốt trên đànPractice reading musical notes and notes on Dan Tranh2. Ôn lại thực hành các kỹ thuật ngón gảyPractice technique of plucking fingers3. Ôn bài Vào rừng hoaReview Vao rung hoa song",Offline,,,,,,
DTR103,7,"1. Luyện bài Vào rừng hoaPractice Vao rung hoa song2. Luyện ngón 1,2, 3Practice plucking fingers No 1,2,33. Ca miệng bài Xàng xêSing Xang xe song4. Ca thuộc từng câu sau đó thực hành vào đànMemorize lyrics and then practice plucking.",Offline,,,,,"Đọc thuộc giai điệu, nốt nhạc bài Xàng xêMemorize the melody and musical notes of the song Xang xe",
DTR103,8,Học tiếp bài Xàng xêContinue to learn Xang xe song,Offline,,,,,,
DTR103,9,Luyện bài Xàng xêPractice Xang xe song,Offline,,,,,,
DTR103,10,"1. Luyện ngón gảy tay phảiPractice plucking by right-hand2. Học bài mới Mã vũ, đọc từng câu thuộc sau đó thực hành vào đànLearn Ma vu song, memorize lyrics and then practice plucking.",Offline,,,,,Đọc thuộc bài Mã vũMemorize Ma vu song,
DTR103,11,"Học bài Mã vũ , đọc từng câu sau đó thực hànhLearn Ma vu song, sing each line and then practice playing",Offline,,,,,Đọc thuộc bài Mã vũMemorize Ma vu song,
DTR103,12,Luyện bài Mã vũ và xàng xêPractice playing Ma vu and Xang xe,Offline,,,,,,
DTR103,13,Luyện bài Mã vũ và xàng xêPractice playing Ma vu and Xang xe,Offline,,,,,,
DTR103,14,"Thực hành ôn tập toàn bộ 3 bài đã học để kiểm tra giữa kỳReview all 3 songs, preparing for mid-term test",Offline,,,,,,
DTR103,15,"Kiểm tra giữa kỳ, từng SV chơi 1 mình 3 bài trước lớpMid-term test, each student plays 3 sóng before class",Offline,,,,,,
DTR103,16,"1. Luyện ngónPractice plucking fingers2. Nghe bài dân ca lý cây đa, SV đọc từng câu thuộc lòng sau đó thực hành vào đànListen to Ly cay da song, memorize lyrics and then practice plucking",Offline,,,,,Nghe bài Dân ca trên you tubeListen to Folk song on youtubeĐọc thuộc giai điệu bàiMemorize the melody of the song,
DTR103,17,"1. Tiếp tục học giai điệu bài dân ca VNContinue to learn the melody of Vietnamese folk songs2. Hướng dẫn SV áp dụng kỹ thuật rung vào bài Dân ca VNInstruct students to apply vibration techniques when playing Vietnamese folk songs3. SV thực hành, GV sửa kỹ thuật tay tráiPractice, lecturers correct left-hand technique for students",Offline,,,,,,
DTR103,18,1. Luyện kỹ thuật rung vào bài dân caPractice vibration technique when playing folk songs,Offline,,,,,Đọc thuộc giai điệu của toàn bộ các bài đã họcMemorize the melody of all the songs that have been learned,
DTR103,19,Thực hành ôn tập/Review:1. Ôn lại các bài đã họcReview lessons that have been learned2. Luyện kỹ thuật rung vào bài dân caPractice vibration technique when playing folk songs,Offline,,,,,,
DTR103,20,"Lý thuyết/Theory:1. Giới thiệu khái quát về nhạc cổ và hệ thống chữ nhạc (có bao nhiêu thể loại nhạc cổ truyền, tên gọi , cách để phân biệt từng thể loại, mỗi một thể loại nhạc cổ là đặc sản của các vùng miền khác nhau)An overview of traditional music and system of letters in music (number of genres of traditional music, names of genres, how to distinguish each genre, each genre is typical for different regions)",Offline,,,,,"Đọc, tìm hiểu về âm nhạc truyền thống trên mạng,Read and learn about traditional music on the internet",
DTR103,21,"1. Ôn lại hệ thống chữ nhạcReview the system of letters in music2. Tập trung vào 2 bài Mã vũ, xàng xêFocus on Ma Vu, Sang Xe songs",Offline,,,,,,
DTR103,22,Tập kỹ thuật rungPractice vibration technique,Offline,,,,,,
DTR103,23,Học bài nước ngoàiLearn foreign songs,Offline,,,,,,
DTR103,24,Học bài nước ngoàiLearn foreign songs,Offline,,,,,,
DTR103,25,"1. Học bài nước ngoài và ôn lại 3 bài việt nam ( xàng xê, mã vũ, lý cây đa)Learn foreign songs and review 3 Vietnamese songs (Xang xe, Ma vu, Ly cay da)2. GV giao câu hỏi, chủ đề cho sinh viên viết bài luận về âm nhạc truyền thống liên quan đến phần nhạc cụ SV học.Lecturers assign questions and topics for students to write essays on traditional music related to the musical instrument introduced in this course.",Offline,,,,,,
DTR103,26,"Cho sinh viên hòa tấu bài xàng xê, mã vũ, lý cây đa với các lớp nhạc cụ khácPerform Xang xem Ma vu, Ly cay da in ensemble with other classes",Offline,,,,,,
DTR103,27,"Cho sinh viên hòa tấu bài xàng xê, mã vũ, lý cây đa với các lớp nhạc cụ khácPerform Xang xem Ma vu, Ly cay da in ensemble with other classes",Offline,,,,,,
DTR103,28,"1.Ôn tập 3 bài chuẩn bị cho thi cuối kỳ( bài nước ngoài, bài dân ca, bài nhạc Huế)Review 3 songs to prepare for the final exam (foreign songs, folk songs, Hue songs)2. Thu bài luậnSubmit essays",Offline,,,,,,
DTR103,29,Tổ chức thi kết thúc khóa họcFinal exam,Offline,,,,,,
DTR103,30,Tổ chức thi kết thúc khóa họcFinal exam,Offline,,,,,,
DBA103,1,"Phần Lý thuyết/Theory section1. Tìm hiểu về lịch sử, tên gọi của nhạc cụLearn about the history and names of the musical instrument2. Cấu tạo cây đànStructure of Dan Bau3. Tư thế ngồi chơi đànThe playing posture4. Cách gảy đàn (tư thế tay phải, tư thế tay trái)How to pluck strings (posture of right hand, posture of left hand)Phần thực hành/Practice section:1. Giáo viên làm mẫu kỹ thuật đầu tiênLecturer models the first technique2. Hướng dẫn SV cách cầm que đàn, cách tạo ra âm thanhInstruct students how to hold the plectrum and how to produce sounds3. Thực hành kỹ thuật đầu tiên gảy ở tay phảiPractice the first technique of right hand plucking4. Chỉnh sửa tay cho SVCorrect hand posture for students",Offline,,,,,"Đọc cuốn sáng học đàn phần hướng dẫn tư thế chơi đàn, tư thế tayRead the section on the playing posture and posture of hands in the textbook",
DBA103,2,"1. Luyện tập tư thế gảy tay phảiPractice posture of right-hand plucking2. Nốt nhạc ứng với điểm đànMusical notes coresponding to hand positions on the Dan Bau3. Luyện tập tư thế gảy tay phải, GV chỉnh sửaPractice posture of right-hand plucking and corect students' mistakes",Offline,,,,,,
DBA103,3,1. Luyện gảy dây buôngPractice plucking strings2. Cách tìm điểm đàn.How to find hand positions,Offline,,,,,Đọc cuốn sách học đàn phần tư thế và cách gảy.Read the section on postures and how to pluck in the textbook.,
DBA103,4,1. Ôn lại kỹ thuật gảy dây buôngReview technique of phucking strings2. Kết hợp tiết tấu với bài luyện dây buôngPluck strings with rhythm3. Học kỹ thuật nhấn lên quãng 2Learn major second up technique,Offline,,,,,Đọc cuốn sách học đàn phần tư thế và cách gảy ngón.Read the section on postures and how to pluck in the textbook.,
DBA103,5,1. Học hệ thống nốt nhạc mớiLearn new system of musical notes2. Học một số âm hình tiết tấu thường gặpLearn some common rhythmic syllables3. Kỹ thuật nhấn lên quãng 2.Major second up technique.,Offline,,,,,Học cách nhận biết nốt nhạc.Learn to recognize musical notes.,
DBA103,6,"1. Luyện tập đọc nốt nhạc, kết hợp ứng với những nốt trên đànPractice reading musical notes and notes on Dan Bau2. Ôn lại thực hành các kỹ thuậtReview and practice techniques",Offline,,,,,,
DBA103,7,1. Luyện nhớ nốt nhạc trên đàn bằng việc vừa đọc vừa gảy dâyRead musical notes and pluck strings at the same time to remember notes2. Luyện ngón nhấn lên quãng 2Practice playing the major second up3. Bắt đầu đi vào học bài đầu tiên: Đội kèn tý honLearn the first song: Doi ken ty hon,Offline,,,,,"Đọc thuộc giai điệu, nốt nhạc bài Đội kèn tý honMemorize melody and musical notes of the song  Doi ken ty hon",
DBA103,8,1. Học thuộc lòng từng câu bài Đội kèn tý honMemorize lyrics of Doi ken ty hon song2. Sau đó tìm nốt nhạc tương ứng trên đàn và bắt đầu đi vào từng câu trong bài.Identify corresponding musical notes and pluck strings,Offline,,,,,,
DBA103,9,1. Luyện kỹ thuật nhấn xuốngPractice technique for lower the pitch2. Học bài mới : Lý cây đaLearn new song: Ly cay da,Offline,,,,,,
DBA103,10,Đọc thuộc bài Lý cây đa sau đó thực hành vào đànMemorize lyrics of Ly cay da and practice playing,Offline,,,,,,
DBA103,11,Thưc hành bài Lý cây đa vào đànPractice plucking Ly cay da,Offline,,,,,,
DBA103,12,Tập luyện bài lý cây đaPractice plucking Ly ca da,Offline,,,,,"Đọc thuộc giai điệu, nốt nhạc bài Lý cây đaMemorize musical notes and melody of the song Ly cay da",
DBA103,13,Luyện tập 2 bài Lý cây đa và đội kèn tí honPractice Ly cay da and Doi ken ti hon song,Offline,,,,,,
DBA103,14,"Thực hành 2 bài đã học để chuẩn bị kiểm tra giữa kỳReview 2 songs, preparing for mid-term test",Offline,,,,,,
DBA103,15,Kiểm tra giữa kỳ 2 bài Lý cây đa và đội kèn tí honMid-term test: playing Ly cay da and Doi ken ti hon,Offline,,,,,,
DBA103,16,Tiếp tục luyện nhấn bài Lý cây đaPractice pressing when playing Ly cay da song,Offline,,,,,,
DBA103,17,Áp dụng kỹ thuật nhấn xuống và lên vào bài Cò lảApply technique for raising or lowering the pitch when playing Co la song,Offline,,,,,Nghe giai điệu trên you tubeListen to the song on youtube,
DBA103,18,Luyện kỹ thuật nhấn xuống và thực hành vào bài Cò lảPractice technique for lowering the pitch and apply in Co la song,Offline,,,,,Nghe giai điệu trên you tubeListen to the song on youtube,
DBA103,19,Học hết bài Cò lảComplete Co la song,Offline,,,,,Nghe giai điệu trên you tubeListen to the song on youtube,
DBA103,20,"Học bài nước ngoài: Auld lang syne( dân ca Scotland)Learning foreign song: Auld lang syne (Scottish folk song)- GV chơi mẫu sau đó chép bài lên bảng, phân chia bài thành 4 câu, cho SV học ca miệng từng câu, chú ý cần đúng tiết tấu.Lecturer plays the song and then writes lyrics on the board, divides the song into 4 sentences and lets students sing each sentence, proper rhythm should be noticed.- Thực hành vào đàn 2 câu đầu.Practice plucking the first 2 sentences.",Offline,,,,,Nghe giai điệu trên you tubeListen to the song on the internet,
DBA103,21,Ôn tập 2 câu đã học và thực hành 2 câu còn lạiReview the first 2 sentences and practice the remaining 2 sentencesLuyện tập nối các câu hoàn chỉnh bàiPractice playing full song,Offline,,,,,Học thuộc nốt nhạc và giai điệu của tác phẩmMemorize melody and musical notes and the song,
DBA103,22,"Luyện bài nước ngoài, nối các câu cho liền mạch, GV sửa cao độ tay nhấnPractice playing the whole foreign song smoothly, lecturer corrects the pitch for students",Offline,,,,,,
DBA103,23,Cho SV luyện chơi 1 mình trước lớp bài nước ngoàiStudents practice playing solo the foreign song in front of the class,Offline,,,,,,
