SubjectCode,Session No,Name,Details
MAD101,9,CQ1_HCM,"Explain the concepts: sets, infinite sets, subsets of a set, power set of a set. Give examples."
MAD101,9,CQ2_HCM,List some set operators with examples. What do we mean by 'symmetric difference' in set theory?
MAD101,10,CQ1_DN,How are two or more sets combined? What are the important properties of functions?
MAD101,10,CT_CQ1,"What are the union, intersection, difference, and symmetric difference of the set of positive integers and the set of odd integers?"
MAD101,10,CQ1_HCM,"Is it possible that A is an element of A, where A is a set? Give examples."
MAD101,10,CQ2_HCM,How do we represent sets in computers? Give examples for illustration.
MAD101,11,CQ1_DN,How are two or more sets combined? What are the important properties of functions?
MAD101,11,CT_CQ1,Give some examples of functions from the set of positive integers to the set of positive integers being:   1) both one-to-one and onto   2) one-to-one but not onto  3) onto but not not one-to-one  4) neither one-to-one nor onto
MAD101,11,CQ1_HCM,What are functions? one-to-one functions? How many one-to-one functions are from a set of three elements to itself?
MAD101,12,CQ1_DN,How are two or more sets combined? What are the important properties of functions?
MAD101,12,CT_CQ1,When does a function have an inverse?
MAD101,12,CQ1_HCM,When is a function called bijection and what is its inverse?
MAD101,13,CT_CQ1,"For each of the following lists of integers, provide a simple formula or rule that generates the terms of an integer sequence that begins with the given list. Assuming that your formula or rule is correct, determine the next three terms of the sequence.  (a) 3, 6, 11, 18, 27, 38, 51, 66, 83, 102, ...  (b) 15, 8, 1, −6, −13, −20, −27, ...  (c) 1, 10, 11, 100, 101, 110, 111, 1000, 1001, 1010, 1011, ...  (d) 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, ..."
MAD101,13,CQ1_HCM,"Give your analysis to know what the 50th term is. 1, 2, 3, 3, 4, 5, 5, 5, 6, 7, 7, 7, 7, …"
MAD101,13,CQ2_HCM,What is a geometric progression? Give an example.
MAD101,14,CT_CQ1,How to evaluate the double sum?
MAD101,14,CQ1_HCM,"What is the sum of the first 50 terms of the following sequence 1, 2, 3, 3, 4, 5, 5, 5, 6, 7, 7, 7, 7, …?"
MAD101,14,CQ2_HCM,Can infinite sets be countable? Why or why not?
MAD101,15,CT_CQ1,"Calculate the number of one-to-one functions from a set S to a set T, where S and T are finite sets of various sizes. Can you determine a formula for the number of such functions?"
MAD101,16,CQ1_DN,How to locate an element in an ordered list? What is commonly used to describe the growth of a function?
MAD101,17,CQ1_DN,How to locate an element in an ordered list? What is commonly used to describe the growth of a function?
MAD101,17,CT_CQ1,What is the difference between an algorithm and a computer program?
MAD101,17,CQ1_HCM,Give at least 3 different algorithms to compute 1+2+3+…+n for positive integer n.
MAD101,17,CQ2_HCM,Give an algorithm that the number of basic comparisons does not depend on the size of input.
MAD101,18,CQ1_DN,How to locate an element in an ordered list? What is commonly used to describe the growth of a function?
MAD101,18,CT_CQ1,What is big-O notation used for?
MAD101,18,CQ1_HCM,Give at least 3 different algorithms to compute 1+2+3+…+n for positive integer n. Compute the number of additions used in each algorithm.
MAD101,19,CT_CQ1,How can the efficiency of an algorithm be analyzed?
MAD101,19,CQ2_HCM,Show that log(n!) is O(nlogn).
MAD101,20,CT_CQ1,Let n and d be positive integers. How many positive integers not exceeding n are divisible by d?
MAD101,20,CQ1_HCM,Is it possible to use only paper and pencil to calculate 3^2023 mod 78? Give your solution if any.
MAD101,21,CT_CQ1,Define what it means for a and b to be congruent modulo m?
MAD101,21,CQ1_HCM,Explain how to encrypt the message 'HAPPY' using modular arithmetic with the encryption function f(p) = (p + 7) mod 26.
MAD101,21,CQ2_HCM,Is the function f(p) = (13p + 7) mod 26 good for encoding? Why or why not?
MAD101,22,CQ1_DN,How many ways are there to find the greatest common divisor of two numbers? What are the algorithms for adding and mutiplying integers using their base b expansions?
MAD101,22,CT_CQ1,Describe a procedure for finding the prime factorization of an integer
MAD101,22,CQ1_HCM,Why are primes important in cryptography?
MAD101,23,CQ1_DN,How many ways are there to find the greatest common divisor of two numbers? What are the algorithms for adding and mutiplying integers using their base b expansions?
MAD101,23,CT_CQ1,Describe some ways to find the greatest common divisor of two integers. When does each method work best?
MAD101,23,CQ1_HCM,"Give examples to illustrate that if r = a mod b then gcd(a, b) = gcd(b, r)."
MAD101,23,CQ2_HCM,Explain the Euclidean algorithm via examples.
MAD101,24,CQ1_DN,How many ways are there to find the greatest common divisor of two numbers? What are the algorithms for adding and mutiplying integers using their base b expansions?
MAD101,24,CT_CQ1,Describe a procedure for converting decimal (base 10) expansions of integers into a base n (n>1) expansions and vice versa.
MAD101,24,CQ1_HCM,Give an example to explain how to find a binary format of a positive integer.
MAD101,24,CQ2_HCM,Can an integer have base 3 expansion? Give an example.
MAD101,25,CT_CQ1,Describe an algorithm for finding the difference of two binary expansions?
MAD101,25,CQ1_HCM,"Explain ALGORITHM 3 Multiplication of Integers. (page 266, K. Rosen 7th Ed.)"
MAD101,26,CT_CQ1,How can we find 3^2022 mod 99 using only paper and pencil?
MAD101,26,CQ1_HCM,How can we compute 7^333 mod 555 using Fast Modular Exponentiation algorithm? How fast is this algorithm?
MAD101,27,CT_CQ1,Can you use the principle of mathematical induction to find a formula for the sum of the first n terms of a sequence?
MAD101,27,CQ1_HCM,Give an example of a recursive algorithm.
MAD101,27,CQ2_HCM,Use mathematical induction to prove the correctness of  a recursive algorithm of computing n!
MAD101,28,CT_CQ1,Which amounts of money can be formed using just two dollar bills and five-dollar bills?
MAD101,28,CQ1_HCM,Use strong induction to prove that every amount of postage of 12 cents or more can be formed using just 4-cent and 5-cent stamps.
MAD101,29,CT_CQ1,"Give a recursive definition of a^n, where a is a nonzero real number and n is a nonnegative integer?"
MAD101,29,CQ1_HCM,"Give at least two recursive definitions for the sequence {a_n} with n>0: 0, 5, 0, 5, 0, 5, …"
MAD101,30,CT_CQ1,Give a recursive definition of the set of positive integers that are multiples of 5.
MAD101,30,CQ1_HCM,"List five elements of the set of all strings generated from {a, b}."
MAD101,30,CQ2_HCM,"Use a recursive definition to define the set of all strings generated from {a, b}."
MAD101,31,CQ1_DN,Can we solve a problem by reducing it to an instance of the same problem with smaller input? What are the basic rules of counting?
MAD101,31,CT_CQ1,Describe a recursive algorithm for  1) computing n!  2) computing a^n  3) computing the greatest common divisor of two positive integers.  4) linear searching the value x in a subsequence of the sequence {a_n}.  5) binary searching the value x in an increasingly ordered subsequence of the sequence {a_n}.
MAD101,31,CQ1_HCM,Write recursive versions of linear search algorithm.
MAD101,31,CQ2_HCM,Write recursive versions of binary search algorithm.
MAD101,32,CQ1_DN,Can we solve a problem by reducing it to an instance of the same problem with smaller input? What are the basic rules of counting?
MAD101,32,CT_CQ1,Estimate the number of comparisons used to merge two ordered lists in the analysis of the merge sort.
MAD101,32,CQ1_HCM,Write an interactive algorithm and a recursive algorithm to find the Fibonacci numbers. Which algorithm uses fewer comparisons?
MAD101,33,CQ1_DN,Can we solve a problem by reducing it to an instance of the same problem with smaller input? What are the basic rules of counting?
MAD101,33,CT_CQ1,What is the difference between: a) The sum rule and product rule? b) The permutation and combination?
MAD101,33,CQ1_HCM,State the principle of inclusion-exclusion. Give an example where this principle applies.
MAD101,33,CQ2_HCM,State the principle of inclusion-exclusion for three sets.
MAD101,34,CQ1_DN,How recurrence relations can be used to solve counting problems? How to use these divide-and-conquer recurrence relations to estimate the complexity of these algorithms?
MAD101,34,CT_CQ1,Explain how the principle of inclusion–exclusion can be used to count the number of onto functions from a set with m elements to a set with n elements.
MAD101,34,CQ1_HCM,How many bit strings of length six do not have two consecutive 1s or three consecutive 0s?
MAD101,35,CQ1_DN,How recurrence relations can be used to solve counting problems? How to use these divide-and-conquer recurrence relations to estimate the complexity of these algorithms?
MAD101,35,CT_CQ1,Explain how the Fibonacci numbers are used to find a recurrence relation for the number of bit strings of length n not containing two consecutive 1s.
MAD101,35,CQ1_HCM,State the product rule for counting. Give 3 examples.
MAD101,35,CQ2_HCM,Give examples of counting problems which can be solved by using tree diagrams.
MAD101,36,CQ1_DN,How recurrence relations can be used to solve counting problems? How to use these divide-and-conquer recurrence relations to estimate the complexity of these algorithms?
MAD101,36,CT_CQ1,Explain how to find f(b^k) (where k is a positive integer) if f(n) satisfies the divide-and-conquer recurrence relation f(n) = af (n/b) + g(n) whenever b divides the positive  integer n
MAD101,36,CQ1_HCM,Given f(n) = 2f(n/2) + n when n is an integer divisible by 2 and f(1) = 1. Can we compute the exact value of f(1024)? Why or why not? How do we estimate the growth of f(n)?
MAD101,37,CT_CQ1,Derive divide-and-conquer recurrence relations for the number of comparisons used in: binary search; locating the maximum element in a sequence. Give big-O estimates for the number of comparisons needed by these algorithm.
MAD101,39,CT_CQ1,Explain how to model different aspects of a computer network or airline routes.
MAD101,39,CQ1_HCM,List some models of graphs in the real world.
MAD101,39,CQ2_HCM,"Explain the concepts: degree, in/out-degree, adjacency and incident."
MAD101,40,CQ1_DN,What are the number of vertices and edges of several classes of simple graphs often used in many applications? How to represent graphs?
MAD101,40,CT_CQ1,What is the relationship between the sum of the degrees of the vertices in an undirected graph and the number of edges in this graph?
MAD101,40,CQ1_HCM,"Describe some special simple graphs Kn, Cn, Wn"
MAD101,40,CQ2_HCM,"Describe some special simple graphs Qn, Km;n."
MAD101,41,CQ1_DN,What are the number of vertices and edges of several classes of simple graphs often used in many applications? How to represent graphs?
MAD101,41,CT_CQ1,How to represent graphs in several different ways?
MAD101,41,CQ1_HCM,"How to generate the adjacency matrix and incidence matrix from a given graph, and vice versa?"
MAD101,41,CQ2_HCM,Highlights the difference between adjacency matrix and incidence matrix.
MAD101,42,CQ1_DN,What are the number of vertices and edges of several classes of simple graphs often used in many applications? How to represent graphs?
MAD101,42,CT_CQ1,How to determine whether two graphs are isomorphic?
MAD101,42,CQ1_HCM,"Give an example of two non-isomorphic graphs that have the same number of nodes, edges and degree sequences."
MAD101,43,CT_CQ1,When is there always a path between two vertices in the graph?
MAD101,43,CQ1_HCM,"What is the length of the longest simple circuit in Kn, Wn?"
MAD101,44,CT_CQ1,How can paths and circuits help to determine whether two graphs are isomorphic?
MAD101,44,CQ1_HCM,What are cut vertices and cut edges?
MAD101,44,CQ2_HCM,Explain the difference between strongly connected and weakly connected. Illustrate them by graphs.
MAD101,45,CT_CQ1,Describe the famous Konigsberg bridge problem and explain how to rephrase it in terms of an Euler circuit.
MAD101,45,CQ1_HCM,What are Euler Circuits/Paths? What is the indication that a given graph has an Euler Circuit/Path?
MAD101,45,CQ2_HCM,Can L. Euler solve the Seven Bridges of Königsberg Problem?
MAD101,46,CQ1_DN,How to find a shortest path between two vertices in a weighted graph using a greedy approach? Can we solve the traveling salesman problem with a backtracking technique?
MAD101,46,CT_CQ1,Give some properties of a simple graph that imply that it has a Hamilton circuit.
MAD101,46,CQ1_HCM,"In a weighted graph, assume that the weights of the edges are different. Is the shortest path between two vertices unique? Show your claim by using examples."
MAD101,47,CQ1_DN,How to find a shortest path between two vertices in a weighted graph using a greedy approach? Can we solve the traveling salesman problem with a backtracking technique?
MAD101,47,CT_CQ1,Describe Dijkstra’s algorithm for finding the shortest path in a weighted graph between two vertices.
MAD101,47,CQ1_HCM,Use Djikstra's algorithm to find the shortest path and also its length from a source vertex to a sink vertex in a weighted graph. Describe each iteration of the algorithm in detail.
MAD101,47,CQ2_HCM,Does Google Map use Djikstra's algorithm?
MAD101,48,CQ1_DN,How to find a shortest path between two vertices in a weighted graph using a greedy approach? Can we solve the traveling salesman problem with a backtracking technique?
MAD101,48,CT_CQ1,Draw a weighted graph with at least 8 vertices and 12 edges. Use Dijkstra’s algorithm to find the shortest  path between two vertices of your choice in the graph.
MAD101,48,CQ1_HCM,Explain why the exhausted technique cannot be used to solve the TSP (Traveling Salesman Problem) when the number of nodes is large.
MAD101,49,CT_CQ1,"Draw a rooted tree with at least 10 vertices, where the degree of each vertex does not exceed 3. Identify the root, the parent of each vertex, the children of each vertex, the internal vertices, the leaves, the level of each vetex, and the height of tree."
MAD101,49,CQ1_HCM,Give some tree models that are commonly used in the real world.
MAD101,49,CQ2_HCM,"Explain the concepts parent, child, leaf, internal nodes, descendants, and ancestors used in graph theory."
MAD101,50,CT_CQ1,How many edges does a tree with n vertices have? How many vertices and leaves does a full m-ary tree have if it has i internal vertices? How many leaves can an m-ary tree of height h have?
MAD101,50,CQ1_HCM,"A full binary tree has L leaves. How high can this tree be? If the number of nodes is given by n, then what are the maximum and minimum heights of a binary tree?"
MAD101,51,CT_CQ1,"What is a binary search tree? Describe an algorithm for constructing a binary search tree, and form a binary search tree for the words: vireo, warbler, egret, grosbeak, nuthatch, and kingfisher."
MAD101,51,CQ1_HCM,"Build a binary search tree for the words enology, phrenology, campanology, ornithology, ichthyology, limnology, alchemy, and astrology using alphabetical order. How many comparisons are needed to locate/find or insert/add the word “limnology” in the search tree?"
MAD101,52,CQ1_DN,How to code a text using a prefix tree? What is the algorithm to convert from an expression from infix form to postfix one?
MAD101,52,CT_CQ1,What is a prefix code? How can a prefix code be represented by a binary tree?
MAD101,52,CQ1_HCM,Use the Huffman coding algorithm to encode a letter given the frequencies A: 0.1 B: 0.13 C: 0.22 D: 0.25 E: 0.30.
MAD101,52,CQ2_HCM,What is the main benefit of Huffman coding algorithm?
MAD101,53,CQ1_DN,How to code a text using a prefix tree? What is the algorithm to convert from an expression from infix form to postfix one?
MAD101,53,CT_CQ1,"Describe preorder, inorder, and postorder tree traversal. Give some examples of preorder, postorder, and inorder  traversal of some binary trees of your choice with at least 10 vertices."
MAD101,53,CQ1_HCM,"Build a binary search tree for the words enology, phrenology, campanology, ornithology, ichthyology, limnology, alchemy, and astrology using alphabetical order. Using pre-order traversal to give the order of the words afterward."
MAD101,54,CQ1_DN,How to code a text using a prefix tree? What is the algorithm to convert from an expression from infix form to postfix one?
MAD101,54,CT_CQ1,Give as many examples as possible for representing some expressions of your choice in prefix and postfix notations.
MAD101,54,CQ1_HCM,Give two different infix expressions that have the same calculating result after applying in-order traversal to the binary expression trees.
MAD101,54,CQ2_HCM,What are main benefits of prefix and postfix forms?
MAD101,55,CQ1_DN,How many ways to build a spanning tree for a connected simple graph? Can we use greedy approachs to design algorithms for finding minimum spanning trees?
MAD101,55,CT_CQ1,What is a spanning tree of a simple graph? Which simple graphs have spanning trees? Describe at least two different applications that require that a spanning tree of a simple graph be found.
MAD101,55,CQ1_HCM,What are spanning trees?
MAD101,55,CQ2_HCM,How many edges must be removed from a connected graph with n vertices and m edges to produce a spanning tree?
MAD101,56,CQ1_DN,How many ways to build a spanning tree for a connected simple graph? Can we use greedy approachs to design algorithms for finding minimum spanning trees?
MAD101,56,CT_CQ1,"Describe depth-first search and breadth-first search algorithms for finding a spanning tree in a simple graph, and illustrate how they work for some graphs of your choice with at least eight vertices and 15 edges."
MAD101,56,CQ1_HCM,Consider the DFS (Depth First Search) and BFS (Breadth First Search) algorithms to construct a spanning tree with the same root for a connected graph. Which algorithm will produce a higher tree?
MAD101,57,CQ1_DN,How many ways to build a spanning tree for a connected simple graph? Can we use greedy approachs to design algorithms for finding minimum spanning trees?
MAD101,57,CT_CQ1,What is a minimum spanning tree of a connected weighted graph? Describe at least two different applications that require that a minimum spanning tree of a connected  weighted graph be found.
MAD101,57,CQ1_HCM,What are minimum spanning trees?
MAD101,57,CQ2_HCM,Give real-life examples of the problem of finding the minimum spanning tree.
MAD101,58,CT_CQ1,"Describe Kruskal’s algorithm and Prim’s algorithm for finding minimum spanning trees and illustrate how Kruskal’s algorithm and Prim’s algorithm are used to find a minimum spanning tree, using a weighted graph with at least eight vertices and 15 edges."
MAD101,58,CQ1_HCM,"Illustrate step by step how Kruskal’s algorithm and Prim’s algorithm are used to find a minimum spanning tree, using a weighted graph with at least 6 vertices and 9 edges."
MAE101,1,CQ1_DN,Discuss four ways of representing a function. Illustrate your discussion with examples.
MAE101,1,CT_CQ1,Basis functions and the transformations of functions
MAE101,1,HCM_CQ1,"What is a function? Let's give an example. Then, find its domain and range."
MAE101,2,CQ1_DN,Describe several ways in which a limit can fail to exist. Illustrate with sketches.
MAE101,2,CT_CQ1,Explain the relationship between one-sided and two-sided limits.
MAE101,2,HCM_CQ2,"Suppose that the graph of f is given. Describe how the graph of the function y=f(x+a) + b can be obtained from the graph of f(x). (where a, b>0)"
MAE101,3,CQ1_DN,"What does it mean for f to be continuous at a, continuous on an interval? What can you say about the graph of such a function?"
MAE101,3,CT_CQ1,Describe three kinds of discontinuities.
MAE101,3,HCM_CQ3,What does it mean to say that a line is the vertical asymptote of the curve? Draw curves to illustrate the various possibilities.
MAE101,3,HCM_CQ4,What is the graph of a function? How can you tell whether a given curve is the graph of a function?
MAE101,4,CQ1_DN,Define the derivative f'(a) . Discuss two ways of interpreting this number.
MAE101,4,CT_CQ1,Describe three conditions for when a function does not have a derivative. Explain the meaning of a higher-order derivative.
MAE101,4,HCM_CQ5,Describe some cases where a function is not differentiable. Illustrate with sketches.
MAE101,5,CQ1_DN,"Give several examples of how the derivative can be interpreted as a rate of change in physics, chemistry, biology, economics, or other sciences."
MAE101,5,CT_CQ1,Predict the future population from the present value and the population growth rate.
MAE101,5,HCM_CQ6,"If y=f(x) and x varies from a to b, write expressions for the average rate of change of y with respect to x over the interval [a,b]."
MAE101,6,CQ1_DN,"Find the equation of the tangent line to the folium of Descartes with equation 2x^3 + 2y^3 − 9xy = 0 at the point (2, 1)."
MAE101,6,CT_CQ1,Recognize the chain rule for a composition of three or more functions.
MAE101,6,HCM_CQ7,What is an implicit function?
MAE101,6,HCM_CQ8,Explain with examples how implicit differentiation works.
MAE101,7,CT_CQ1,Use logarithmic differentiation to determine the derivative of a function.
MAE101,7,HCM_CQ9,How are derivatives of exponential and logarithmic functions used in real life?
MAE101,8,CQ1_DN,How to solve a related rates problem? Illustrate with examples.
MAE101,8,CT_CQ1,Use the chain rule to find the rate of change of one quantity that depends on the rate of change of other quantities.
MAE101,8,HCM_CQ10,What is an example of a related rate in reality?
MAE101,9,CQ1_DN,How to use differentials to approximate the change in the value of the function that results from a small change in the value of the input?
MAE101,9,CT_CQ1,Describe the linear approximation to a function at a point
MAE101,9,HCM_CQ11,What is the linearization of an everywhere differential function f?
MAE101,9,HCM_CQ12,"Suppose that f""(x) < 0 for x near a point. Is the linearization of f at the point an over-approximation or an under-approximation? Why?"
MAE101,10,CQ1_DN1,Explain the difference between an absolute maximum and a local maximum. Illustrate with a sketch.
MAE101,10,CQ2_DN1,State the Mean Value Theorem and give a geometric interpretation.
MAE101,10,CT_CQ1,Define absolute extrema. Explain how to find the critical points of a function over a closed interval. Provide examples.
MAE101,10,HCM_CQ13,"If f(x) is continuous on a closed interval, then it is enough to look at the points where f'(x) = 0 in order to find its absolute maxima and minima. Be prepared to justify your answer."
MAE101,11,CT_CQ1,Use concavity and inflection points to explain how the sign of the second derivative affects the shape of a function’s graph.
MAE101,11,HCM_CQ14,What is the vertical/horizontal asymptote of a curve? Illustrate the possibilities by drawing.
MAE101,11,HCM_CQ15,How many horizontal asymptotes can a function have in maximum?
MAE101,12,CT_CQ1,Set up and solve optimization problems in several applied fields
MAE101,12,HCM_CQ16,How do you solve applied optimization problems? Let's give an example.
MAE101,13,CQ1_DN,"(a) Given an initial approximation x_1 to a root of the equation f(x)=0, explain geometrically, with a diagram, how the second approximation x_2 in Newton’s method is obtained. (b) Write an expression for x_2, x_n"
MAE101,13,CT_CQ1,Describe the steps of Newton’s method. Recognize when Newton’s method does not work. Provide examples.
MAE101,13,HCM_CQ17,What is Newton's method? Give examples.
MAE101,13,HCM_CQ18,Does Newton's method always work?
MAE101,14,CQ1_DN,A metal storage tank with volume V is to be constructed in the shape of a right circular cylinder surmounted by a hemisphere. What dimensions will require the least amount of metal?
MAE101,14,CT_CQ1,Use antidifferentiation to solve simple initial-value problems
MAE101,14,HCM_CQ19,What is the antiderivative? Why do we need to find the antiderivative of an integrable function?
MAE101,15,CQ1_DN,Use six rectangles to find estimates of each type for the area under the graph of f(x)= e^(x^2) from x=0 to x=1 . (a) L_6(sample points are left endpoints) (b) R_6(sample points are right endpoints)
MAE101,15,CT_CQ1,Compute the left and right Riemann sums—L6 and R6. Provide examples.
MAE101,15,HCM_CQ20,"How do you approximate the area under a curve? Let's take an example of the function f(x) = x^2 in the interval [1,2]."
MAE101,16,CQ1_DN,Write the definition of the definite integral of a continuous function from x=a to x=b .
MAE101,16,CT_CQ1,Use Riemann sums to the approximate area.
MAE101,16,HCM_CQ21,What are definite integrals? Give examples.
MAE101,16,HCM_CQ22,What is the relationship between integrals and anti-derivatives?
MAE101,17,CQ1_DN,Use the Net Change Theorem to evaluate the net change in function . Illustrate with examples.
MAE101,17,CT_CQ1,Explain the significance of the net change theorem.
MAE101,17,HCM_CQ23,How can we use definite integrals to determine the net change of a quantity?
MAE101,18,CQ1_DN,How do you use the Substitution Rule?
MAE101,18,CT_CQ1,When we use the substitution rule and how it is used.
MAE101,18,HCM_CQ24,What is the substitution method for calculating integrals?
MAE101,18,HCM_CQ25,Give an example of computing integrals by using substitution rule.
MAE101,19,CQ1_DN,Use Midpoint Rule and Trapezoidal Rule to approximate the value of an definite integral.
MAE101,19,CQ2_DN1,Approximate the value of an definite integral by using the Simpson’s Rule.
MAE101,19,CT_CQ1,When we use the integrate by parts rule and how it is used.
MAE101,19,HCM_CQ26,How to prove the integral by parts formula?
MAE101,20,CT_CQ1,Evaluate an integral over an infinite interval.
MAE101,20,HCM_CQ27,What are improper integrals?
MAE101,20,HCM_CQ28,What are the real-life applications of improper integrals?
MAE101,21,HCM_CQ29,What are the types of improper integrals?
MAE101,22,HCM_CQ30,What is numerical integration with an example? Why do we implement numerical integration?
MAE101,23,CQ1_DN,How many solutions can a system of linear equations have?
MAE101,23,CT_CQ1,"Show that a system consisting of exactly one linear equation can have no solution, one solution, or infinitely many solutions. Give examples"
MAE101,23,HCM_CQ31,Give example of solving a system of linear equations in real life.
MAE101,23,HCM_CQ32,How many solutions can a system of linear equations have?
MAE101,24,CQ1_DN,What are elementary row operations? Illustrate with examples.
MAE101,24,CT_CQ1,"By examining the possible positions of lines in the plane, show that two equations in two variables can have zero, one, or infinitely many solutions."
MAE101,24,HCM_CQ33,What are elementary operations in linear algebra? Let's give an example.
MAE101,24,HCM_CQ34,What are reduced row echelon matrices?
MAE101,25,CQ1_DN,How do you solve a linear equation using the Gaussian elimination method?
MAE101,25,CT_CQ1,"Using a series of elementary row operations to carry a matrix to row–echelon form, find the rank of a matrix."
MAE101,25,HCM_CQ35,How does Gaussian elimination work?
