SubjectCode,Category,Type,Part,Weight,Completion Criteria,Duration,CLO,Question Type,No Question,Knowledge and Skill,Grading Guide,Note
DSA103,Participation,on-going,1,15.0%,>0,,,,,,"Ghi nhận của GV v/v sinh viên tích cực tham gia các hoạt động, đi học đầy đủ, có bài luận.Lecturer's recognition of student's active participation in class activities, full attendance of the course and submission of the essay.Thang điểm 10Scoring scale: 10",
DSA103,Final exam,final exam,1,70.0%,4,5phút/SV5 min/students,,thực hànhpractice,"2 bài hòa tấu, 1 bài solo2 ensemble performances, 1 solo performance",,Sinh viên chơi 2 bài Việt Nam hòa tấu với đàn khác trong và 1 bài quốc tế soloStudents play 2 Vietnamese songs in ensemble with other instruments and play solo 1 foreign song,
DNG103,Assignment,on-going,1,15.0%,>0,,,"Thầy cô có thể tổ chức các hoạt động, VD: thuyết trình, làm workshop, viết luận, v.v. Sản phẩm chấm điểm có thể là: bài thuyết trình, slides, bài luận, v.v. Lecturers could organise these activities, for e.g: presentation, workshop, essay writing, etc. The outputs for marking could be: presentation speech, slides, essays, etc.",1,Kiến thức về loại nhạc cụ sinh viên học.Knowledge about musical instrument introduced in this course.,Giáo viên chấm thang điểm 10Scoring scale: 10,
DNG103,Participation,on-going,1,15.0%,>0,,,,,,"Ghi nhận của GV v/v sinh viên tích cực tham gia các hoạt động, đi học đầy đủ, có bài luận.Lecturer's recognition of student's active participation in class activities, full attendance of the course and submission of the essay.Thang điểm 10Scoring scale: 10",
DNG103,Final exam,final exam,1,70.0%,4,5phút/SV5 min/students,,thực hànhpractice,"2 bài hòa tấu, 1 bài soloplay 2 songs together, play solo 1 song",,"Sinh viên chơi 3 bài (bài dân ca Việt Nam, bài nhạc huế và 1 bài quốc tế)Students play 3 songs (Vietnamese folk song, Hue song and 1 foreign song)",
DTB103,Assignment,on-going,1,15.0%,>0,,,"Thầy cô có thể tổ chức các hoạt động, VD: thuyết trình, làm workshop, viết luận, v.v. Sản phẩm chấm điểm có thể là: bài thuyết trình, slides, bài luận, v.v. Lecturers could organise these activities, for e.g: presentation, workshop, essay writing, etc. The outputs for marking could be: presentation speech, slides, essays, etc.",1,Kiến thức về loại nhạc cụ sinh viên học.Knowledge about musical instrument introduced in this course.,Giáo viên chấm thang điểm 10Scoring scale: 10,
DTB103,Participation,on-going,1,15.0%,>0,,,,,,"Ghi nhận của GV v/v sinh viên tích cực tham gia các hoạt động, đi học đầy đủ, có bài luận.Lecturer's recognition of student's active participation in class activities, full attendance of the course and submission of the essay.Thang điểm 10Scoring scale: 10",
DTB103,Final exam,final exam,1,70.0%,4,5phút/SV5 min/students,,thực hànhpractice,"2 bài hòa tấu, 1 bài solo2 ensemble performances, 1 solo performance",,Sinh viện chơi 2 bài hòa tấu và 1 bài soloStudents play 2 ensemble performances and 1 solo performance,
TRG103,Assignment,on-going,1,15.0%,>0,,,"Thầy cô có thể tổ chức các hoạt động, VD: thuyết trình, làm workshop, viết luận, v.v. Sản phẩm chấm điểm có thể là: bài thuyết trình, slides, bài luận, v.v. Lecturers could organise these activities, for e.g: presentation, workshop, essay writing, etc. The outputs for marking could be: presentation speech, slides, essays, etc.",1,Kiến thức về loại nhạc cụ sinh viên học.Knowledge about musical instrument introduced in this course.,Giáo viên chấm thang điểm 10Scoring scale: 10,
TRG103,Participation,on-going,1,15.0%,>0,,,,,,"Ghi nhận của GV v/v sinh viên tích cực tham gia các hoạt động, đi học đầy đủ, có bài luận.Lecturer's recognition of student's active participation in class activities, full attendance of the course and submission of the essay.Thang điểm 10Scoring scale: 10",
TRG103,Final exam,final exam,1,70.0%,4,5phút/SV5 min/students,,thực hànhpractice,3 bài3 songs,,Sinh viên chơi 2 bài nhạc Huế và 1 bài dân ca bằng trống dànStudents play 2 Hue songs and 1 folk song with the drum kit,
DNH103,Assignment,on-going,1,15.0%,>0,,,"Thầy cô có thể tổ chức các hoạt động, VD: thuyết trình, làm workshop, viết luận, v.v. Sản phẩm chấm điểm có thể là: bài thuyết trình, slides, bài luận, v.v. Lecturers could organise these activities, for e.g: presentation, workshop, essay writing, etc. The outputs for marking could be: presentation speech, slides, essays, etc.",1,Kiến thức về loại nhạc cụ sinh viên học.Knowledge about musical instrument introduced in this course.,Giáo viên chấm thang điểm 10Scoring scale: 10,
DNH103,Participation,on-going,1,15.0%,>0,,,,,,"Ghi nhận của GV v/v sinh viên tích cực tham gia các hoạt động, đi học đầy đủ, có bài luận.Lecturer's recognition of student's active participation in class activities, full attendance of the course and submission of the essay.Thang điểm 10Scoring scale: 10",
DNH103,Final exam,final exam,1,70.0%,4,4phút/SV4 min/student,,"Hòa tấu 2 bài Xàng xê và lý cây đa, độc tấu bài nước ngoài2 ensemble performances of Xang xe and ly cay da, 1 solo performance of the foreign song",3 bài3 songs,,"Sinh viện lựa chọn 3 bài trong đó 1 bài dân ca Việt Nam, 1 bài nhạc Huế và 1 bài quốc tế.Students choose 3 songs including 1 Vietnamese folk song, 1 Hue song  and 1 foreign song",
CSI106,Group presentation,on-going,2,10.0%,>0,Option 1: 30'/group Option 2 (For Constructivism Approach only): Follow lecturer's proposal,"Presentation1. One or many of CLO1, CLO2, CLO3, CLO4, CLO5, CLO6, CLO7, CLO8, CLO9, CLO10Presentation2. CLO13",Option 1: .ppt and oral presentationOption 2 (For Constructivism Approach only): Follow lecturer's proposal,Option 1: N/A Option 2 (For Constructivism Approach only): Follow lecturer's proposal,one of the appendices,"Each group selects one topic ralated to Addional Learning ( (AI For Everyone course in Coursera) to present and has at least two weeks to prepare the presentationPresentation 2:- .ppt and oral presentation- Topics related to Additional Learning (Chapter 18 in Textbook, Deep Learning in Object Detection and Recognition, Speech Emotion Recognition, Traffic Sign Recognition, Federated Learning,…)",The presentation 2 is graded if and only if students complete Additional Learning (AI For Everyone course in Coursera)  and achieve the certificate.
CSI106,Lab,on-going,2,20.0%,>0,Option 1: 60-90'/each Option 2 (For Constructivism Approach only): Follow lecturer's proposal,"Lab1. CLO2Lab2. One or many of CLO6, CLO7",Option 1: practical exercises Option 2 (For Constructivism Approach only): Follow lecturer's proposal,Option 1: N/A Option 2 (For Constructivism Approach only): Follow lecturer's proposal,technical aspect of studied topics,Guided by instructor- Labs are arranged relevant to the chapter theory- Student must finish labs and submit the results to the lecturer in class.,.
CSI106,Progress test,on-going,3,30.0%,>0,Option 1: 30'/each Option 2 (For Constructivism Approach only): Follow lecturer's proposal,"Test1. CLO1, CLO2, CLO3, CLO4, CLO5Test2. CLO6, CLO7, CLO8, CLO9Test3. CLO10, CLO11, CLO12, CLO13",Option 1: MC or suitable format Option 2 (For Constructivism Approach only): Follow lecturer's proposal,Option 1: 30 Option 2 (For Constructivism Approach only): Follow lecturer's proposal,"Test 1: Chapters 1, 2, 3, 4, 5 , 6, 7Test 2: Chapters 8, 9, 10, 11, 12Test 3: Chapters 13, 14, 16, 18, 20","in class, by instructor",Instruction and schedules for Progress Tests must be presented in the Course Implementation Plan approved by director of the campus.The test must be taken right after the last lectures of required material.Instructor has responsibility to review the test for students after graded
CSI106,Final exam,final exam,1,40.0%,4,60',"CLO1, CLO2, CLO3, CLO4, CLO5, CLO6, CLO7, CLO8, CLO9, CLO10, CLO11, CLO12",Multiple choicesMarked by Computer,60,"concepts, algorithms; all studied Chapters.","by exam board,using computer",Students must complete Additional Learning (AI For Everyone course in Coursera)  and achieve the certificate in order to take final examThe exam questions must be updated or different at least 70% to the previous ones.
MAD101,Progress test,quiz,3,30.0%,>0,30 minutes,All LOs,OP1: MC or a suitable format // OP2: (For Constructivism Approach only): Follow lecturer's proposal,15 questions within 30 minutes,Chapters introduced,"OP1: by instructor, and by suitable means (computer, paper, oral...)OP2: (For Constructivism Approach only): Follow lecturer's proposal",OP1: Instruction and schedules for Progress tests must be presented in the  Course Implementation Plan approved by the director of the campus.Progress test must be taken right after the last lectures of the required material.Instructor has responsibility to review the test for students after graded.OP2: (For Constructivism Approach only): Follow lecturer's proposal
MAD101,Assignment,on-going,3,30.0%,>0,at home,All LOs,OP1: Open // OP2: (For Constructivism Approach only): Follow lecturer's proposal,At least 5/ chapter,Chapters introduced,"OP1: guided by the instructorin class, completed by students at home, submitted by deadlineOP2: (For Constructivism Approach only): Follow lecturer's proposal",Students usenotebooks forexercises
MAD101,Final exam,final exam,1,40.0%,4,60',,Computer gradable,50,All studied chapters. At least 6 questions/chapter,by Exam Board,~10% ofquestions is a2 objective oriented
MAE101,Assignment,on-going,3,30.0%,>0,OP1: at home // OP2: (For Constructivism Approach only): Follow lecturer's proposal,,OP1: Open // OP2: (For Constructivism Approach only): Follow lecturer's proposal,OP1: At least 3/chapter // OP2: (For Constructivism Approach only): Follow lecturer's proposal,Chapters introduced,"OP1: guided by instructorin class, completed by students at home, submitted by deadlineOP2: (For Constructivism Approach only): Follow lecturer's proposal",Students usenotebooks forexercises
MAE101,Progress test,on-going,3,30.0%,>0,OP1: Test 1:  40'Test 2&3: 30' // OP2: (For Constructivism Approach only): Follow lecturer's proposal,,OP1: MC or a suitable format // OP2: (For Constructivism Approach only): Follow lecturer's proposal,OP1: Test 1: 20               Test 2&3: 15+  At least 5*n questions where n is the number of Chapters covered in the test.+ Structure:• level 1 (knowledge & comprehension): 20%; • level 2 (application & analysis): 60%; • level 3 (synthesis & evaluation): 20% // OP2: (For Constructivism Approach only): Follow lecturer's proposal,Chapters introduced,"OP1: by instructor, and by suitable means (computer, paper, oral...)OP2: (For Constructivism Approach only): Follow lecturer's proposal",Instruction and shedules for Progress tests must be presented in the  Course Implementation Plan approved by director of the campus.Progress test must be taken right after the last lectures of required material.Instructor has resposibility to review the test for students after graded.
MAE101,Final exam,final exam,1,40.0%,4,60',,Computer gradable,50Structure:• level 1: 10%• level 2: 80%• level 3: 10%,"All studied chapters.  Each studied Chapter contributes 2-8 questions, depending on the number of topics in the Chapter.",by Exam Board,~10% ofquestions is a2 objective oriented
PFP191,Assignment,on-going,1,15.0%,>0,28 slots,"CLO1, CLO2, CLO3, CLO4, CLO5, CLO6, CLO7",Review,,All subjects in syllabus,"in class, by teacher",
PFP191,Lab,on-going,5,10.0%,>0,90'/each,"CLO1, CLO2, CLO3, CLO4, CLO5, CLO6, CLO7",Review,,,"in class, by teacher",
PFP191,Practical Exam,on-going,1,30.0%,>0,85'/each,"CLO1, CLO2, CLO3, CLO4, CLO5, CLO6, CLO7",PEA,,,By exam board,
PFP191,Progress test,on-going,2,15.0%,>0,30'/each,"CLO1, CLO2, CLO3, CLO4, CLO5, CLO6, CLO7",Multiple choicesMarked by Computer or a suitable format,20/each,Based on the progress on the class,"in class, by LMS system","Instruction and schedules for Progress Tests must be presented in the Course Implementation Plan approved by director of the campus.Progress test must be taken right after the last lectures of required material.Instructor has responsibility to review the test for students after graded.*** Note: Test 1: LO1, LO2, LO3Test 2: LO4, LO5, LO6, LO7"
PFP191,Final exam,final exam,1,30.0%,4,60'/each,"CLO1, CLO2, CLO3, CLO4, CLO5, CLO6, CLO7",Multiple choicesMarked by Computer,50,All subjects in syllabus,Exam room,The exam questions must be updated or different at least 70% to the previous ones.
VOV124,Final exam,final exam,1,100.0%,5,1.5 hours,,Test techniques,Số phần thi: 03Number of sections: 03* Chiến lược.Basic techniques.* Bài Nhập môn quyềnNhap Mon Form* Thể lực chuyên môn.Physical strength.,* Chiến lược đồng đội.Team strategy.* Nhập môn quyền đồng đội.Introduction to kata in teams* Thể lực chuyên môn.Physical strength.,Chọn 1 trong 2 cách sau:Choose 1 of 2 following ways:* Sinh viên bốc thăm câu hỏi.Students draw questions.* Giảng viên đặt yêu cầu để sinh viên thực hiện.Lecturer set requirements for students.,"Thành lập hội đồng chấm thi. Chủ nhiệm BM là chủ tịch hội đồng, phân công các GV vào các vị trí:Establish an examination board. Head of Subject is chief examiner of the board and responsible assigning teachers:* Thư ký hội đồng: giám sát tư cách dự thi của SV và tổng hợp điểm.Secretary of the Board: supervise the eligibility of students and synthesize scores.* Các tổ chấm thi tương ứng với 3 phần thi.There are teams of examiners corresponding to 3 sections of the exam."
COV121,Mid-term,on-going,1,33.3%,,,,Test techniques,8-10,* Các giai đoạn trong Cờ VuaStages in Chess* Những tri thức cơ bản trong Cờ VuaBasic knowledge of Chess,Thi giấy tập trungPaper-based examination,
COV121,Final exam,final exam,1,66.7%,,,,Test techniques,8-10,* Các giai đoạn trong Cờ VuaStages in Chess* Những tri thức cơ bản trong Cờ VuaBasic knowledge of Chess,Thi giấy tập trungPaper-based examination,
SSL101c,Theoretical Exam (TE),final exam,1,100.0%,4,60',"LO1, LO2, LO3, LO4, LO5",Multiple choice,60,The whole course content. Each module of course contributes 3-5 questions.,by exam board,
AIG202c,TE,final exam,1,100.0%,4,60',,Computer gradable,60,All studied courses.  Each module of course contributes 2-3 questions.,by Exam Board,Customized from the quizzes of this specialization.
CEA201,Assignment,on-going,2,30.0%,>0,Option 1: At home Option2: (For Constructivism Approach only): Follow lecturer's proposal,,Option 1: Developing Assemly program Option 2 (For Constructivism Approach only): Follow lecturer's proposal,Option 1: 2 Option 2 (For Constructivism Approach only): Follow lecturer's proposal1: 2 Option 2: Follow lecturer's proposal,Basic programs,Teachers assess their works on their computers,30% of total progress mark
CEA201,Exercises,on-going,4,30.0%,>0,Option 1: N/A Option2: (For Constructivism Approach only): Follow lecturer's proposal,,Option 1: Writing Option 2 (For Constructivism Approach only): Follow lecturer's proposal,Option 1: Depends on chapters Option 2 (For Constructivism Approach only): Follow lecturer's proposal1: Depends on chapters; Option 2: Follow lecturer's proposalon chapters,Studied chapters; knowledge and skills,Students write answers to their notebook,30% of total progress mark
CEA201,Final exam,final exam,1,40.0%,4,60',,Multiple choice,50,All chapters; knowledge and skills of digital system;,by Exam board,40% of total progress mark
CSD203,Assignment 1,on-going,1,10.0%,>0,45,,Written test questions,2,"- cover content 1,2,3,4","in class, by instructor",Instructor has resposibility to review the test for students after graded.
CSD203,Assignment 2,on-going,1,10.0%,>0,45',,Written test questions,2,"- cover content 5,6,7,8","in class, by instructor",Instructor has resposibility to review the test for students after graded.
CSD203,Practical exam,on-going,1,30.0%,>0,60',,Written test questions,2,"- cover content 1,2,3,4,5,6,7","by exam board,using computer",The exam questions must be updated or different at least 70% to the previous ones.
CSD203,Progress test 1,on-going,1,10.0%,>0,10'-30',,Multiple choicesMarked by Computer or a suitable format,30,"- cover content 1,2,3,4","in class, by instructor",Instruction and shedules for Progress tests must be presented in the  Course Implementation Plan approved by director of the campus.Progress test must be taken right after the last lectures of required material.Instructor has resposibility to review the test for students after graded.
CSD203,Progress test 2,on-going,1,10.0%,>0,10'-30',,Multiple choicesMarked by Computer or a suitable format,30,"- cover content 5,6,7,8","in class, by instructor",Instruction and shedules for Progress tests must be presented in the  Course Implementation Plan approved by director of the campus.Progress test must be taken right after the last lectures of required material.Instructor has resposibility to review the test for students after graded.
CSD203,Final exam,final exam,1,30.0%,4,60',,Multiple choicesMarked by Computer,50,"concepts, algorithms;all studied chapters","by exam board,using computer",The exam questions must be updated or different at least 70% to the previous ones.
DBI202-OLD,Progress test,quiz,2,10.0%,>0,20',,Multiple choicesMarked by Computer or a suitable format,20,up to 04 covered chapters,by instructorusing computer,Instruction and shedules for Progress tests must be presented in the  Course Implementation Plan approved by director of the campus.Progress test must be taken right after the last lectures of required material.Instructor has resposibility to review the test for students after graded.
DBI202-OLD,Assignment,on-going,1,20.0%,>0,at home,,Design; Implementation;Presentation,,Simple RDBS design and implementation using a DBMS,"guided by instructor,  prepare at home present in class","40% Design,20% Implementation,40% Presentationof the whole Project"
DBI202-OLD,Labs,on-going,5,15.0%,>0,in labsession,,practicalexercises,,related to studied modules,Guided by instructor,may be continued at home.
DBI202-OLD,Practical Exam,practical exam,1,25.0%,>0,85',,Preferable to be marked by Scripts,,DB programing  skills,by exam board and department,Practical Exam database is up load in CMS in advanced.
DBI202-OLD,Final exam,final exam,1,30.0%,5,60',,Multiple choicesMarked by Computer,60,"Knowledge and skills in the course, but with much focus on the items  in Chapters 2 to 6,>= 70% new questions (for the current semester);",by exam board,
DBI202,Assignment,on-going,1,20.0%,>0,28 slots,,,N/A,All subjects in syllabus,"in class, by teacher",
DBI202,Lab,on-going,5,10.0%,>0,90',,,N/A,,"in class, by teacher",
DBI202,Practical Exam,on-going,1,30.0%,>0,85',,,N/A,,By exam board,
DBI202,Progress test,on-going,2,10.0%,>0,30',,Multiple choices; Marked by Computer or a suitable format,20,,"in class, by LMS system",Instruction and schedules for Progress Tests must be presented in the Course Implementation Plan approved by director of the campus.Progress test must be taken right after the last lectures of required material.Instructor has responsibility to review the test for students after graded.Progress test must be taken right after the last lectures of required material.Instructor has resposibility to review the test for students after graded.
DBI202,Final exam,final exam,1,30.0%,4,60,,,50,All subjects in syllabus,Exam room,The exam questions must be updated or different at least 70% to the previous ones.
JPD113,Mid-term,on-going,1,30.0%,>0,50',"CLO1,2",Trắc nghiệm,40~45 câu,"1) Kiểm tra bảng chữ cái, các câu dùng trong chào hỏi, từ dùng trong lớp học, số đếm và bài 1                                                                 2) Kỹ năng: đọc",Thi trên phần mềm EOS.,"1. Bộ môn chủ động đề thi cho Campus của mình. Giảng viên được phân công ra đề, gửi CNBM/cán bộ quản lí. CNBM/cán bộ quản lí tổng hợp đề thi và gửi Khảo thí.2. Thi tại lớp học."
JPD113,Kiểm tra nhỏ (small test),on-going,2,20.0%,>0,30',"CLO1,2",Small test 1: Trắc nghiệm hoặc kiểm tra đọc   Small test 2: Trắc nghiệm,30~35 câu,"1) Small test 1: bảng chữ mềm và bảng chữ cứng    Small test 2: từ vựng, ngữ pháp, chữ Hán bài 1,2       2) Kỹ năng: đọc","Đối với small test 1 (kiểm tra bảng chữ cái): kiểm tra miệng cách đọc hoặc thi bằng phần mềm thi trên mạng, hoặc EOS.Đối với small test 2: có thể thi EOS hoặc phần mềm thi trên mạng.","Giảng viên phụ trách tự chủ động ra đề, chấm bài và tổng hợp điểm."
JPD113,Participation,on-going,1,10.0%,>0,90',CLO5,,,"1) Lựa chọn 1: Tiêu chí đánh giá:- Chuyên cần- Thái độ, ý thức trên lớp- Sự tích cực, hăng hái tham gia bài giảng; hăng hái làm việc nhómLựa chọn 2: (Chỉ dành cho Phương pháp KT): Thực hiện theo đề xuất của giảng viên2) Kỹ năng: nghe, nói, đọc",,"Dựa vào các yếu tố: chuyên cần, nghiêm túc, tích cực tham gia bài giảng"
JPD113,Final exam,final exam,2,40.0%,4,40',CLO1~CLO4,Trắc nghiệm+ Speaking,"Phần MC (từ vựng, ngữ pháp, chữ Hán): 30 câu; Speaking: 1 đoạn văn+ 3~5 câu hỏi đáp","1) Từ vựng, ngữ pháp, chữ Hán bài 1~bài 3                     2) Kỹ năng: nghe, nói, đọc","Thi trên trường, sử dụng máy tính và phần mềm EOS.","1.Thi đề chung2. Điều kiện hoàn thành môn học: thỏa mãn đồng thời 2 điều kiện dưới đây:a) Điểm đánh giá quá trình, điểm thi giữa kì >0; Điểm thi cuối kì >=4/10; Tổng điểm chung cho toàn bộ môn học >=5/10;b)Thi cuối kỳ không có kỹ năng nào bị 0."
JPD113,"Thi cuối kỳ: Từ vựng, ngữ pháp, chữ Hán","Final exam phần từ vựng, ngữ pháp, chữ Hán",1,10.0%,>0,30',"CLO1,2,4","Trắc nghiệm: từ vựng, ngữ pháp, chữ Hán bài 1~bài 3",30 câu,"1) Từ vựng, ngữ pháp, chữ Hán bài 1~bài 3                 2) Kỹ năng: đọc","Thi trên trường, sử dụng máy tính và phần mềm EOS.",
JPD113,Thi cuối kỳ: Nói,Final exam phần nói,1,30.0%,>0,5'~10',CLO1~CLO4,Speaking: Đọc đoạn văn+ trả lời câu hỏi,1 đoạn văn+ 3~5 câu hỏi,"1) Từ vựng, ngữ pháp, chữ Hán bài 1~bài 3                      2) Kỹ năng: nghe, nói, đọc",Thi trên trường.,
VOV134,Final exam,final exam,1,100.0%,5,1.5 hours,,Test techniques,Số phần thi: 01Number of section: 01* Bài đa luyệnMulti-activity performances,Số phần thi: 03Number of sections: 03* Chiến lược.Basic techniques.* Bài Nhập môn quyềnNhap Mon Form* Thể lực chuyên môn.Physical strength.,* Bài đa luyện*Multi-activity performances,Chọn 1 trong 2 cách sau:Choose 1 of 2 following ways:* Sinh viên bốc thăm câu hỏi.Students draw questions.* Giảng viên đặt yêu cầu để sinh viên thực hiện.Lecturer set requirements for students.
COV131,Mid-term,on-going,1,33.3%,,,,Test techniques,8-10,* Các giai đoạn trong Cờ VuaStages in Chess* Những tri thức cơ bản trong Cờ VuaBasic knowledge of Chess,Thi giấy tập trungPaper-based examination,
COV131,Final exam,final exam,1,66.7%,,,,Test techniques,8-10,* Các giai đoạn trong Cờ VuaStages in Chess* Những tri thức cơ bản trong Cờ VuaBasic knowledge of Chess,Thi giấy tập trungPaper-based examination,
ADY201m,6 Labs,on-going,6,30.0%,>0,30',"CLO1, CLO2, CLO3, CLO4, CLO5, CLO6","Home work,",6,"- cover chapter 1,2,3,4,5,6","in class, by instructor",Instruction and shedules for Progress tests must be presented in the  Course Implementation Plan approved by director of the campus.Progress test must be taken right after the last lectures of required material.Instructor has resposibility to review the test for students after graded.
ADY201m,Assignment,on-going,1,10.0%,>0,45,"CLO1, CLO2, CLO3, CLO4, CLO5, CLO6, CLO7",data science project at home,1,"- cover chapter 5, 6, 7",at home,Instructor has resposibility to review the test for students after graded.
ADY201m,Progress test 1,on-going,1,10.0%,>0,45',"CLO1, CLO2, CLO3",Multiple choicesMarked by Computer or a suitable format,30,"- cover chapter 1,2,3,4","in class, by instructor",Instruction and shedules for Progress tests must be presented in the  Course Implementation Plan approved by director of the campus.Progress test must be taken right after the last lectures of required material.Instructor has resposibility to review the test for students after graded.
ADY201m,Progress test 2,on-going,1,10.0%,>0,45',"CLO4, CLO5, CLO6",Multiple choicesMarked by Computer or a suitable format,30,"- cover chapter 5,6,7","in class, by instructor",Instruction and shedules for Progress tests must be presented in the  Course Implementation Plan approved by director of the campus.Progress test must be taken right after the last lectures of required material.Instructor has resposibility to review the test for students after graded.
ADY201m,Final exam,final exam,1,40.0%,4,60',"CLO1, CLO2, CLO3, CLO4, CLO5, CLO6",Multiple choicesMarked by Computer,50,"- cover chapter 1,2,3,4,5,6,7","by exam board,using computer",The exam questions must be updated or different at least 70% to the previous ones.
ITE303c,Final exam,final exam,1,100.0%,4,60',,Multiple choicesMarked by Computer,50,All studied courses. Each module of course contributes 4-5 questions.,"by exam board,using computer",Customized from the quizzes of this specialization.1st Evaluation: For students who completed & got Coursera's specialization certificates (Option at week 9);2nd Evaluation: For students who completed & got Coursera's specialization certificates) at week 13;3rd Evaluation: For students who completed & got Coursera's specialization certificates) at week 14.
JPD123,Mid-term,on-going,1,30.0%,>0,50',"CLO1,2",Trắc nghiệm,40~45 câu,"1) Từ vựng, ngữ pháp, chữ Hán bài 4, bài 5  2) Kỹ năng: đọc",Phần mềm EOS trên lớp.,"1. Bộ môn chủ động đề thi cho Campus của mình. Giảng viên được phân công ra đề, gửi CNBM/cán bộ quản lí. CNBM/cán bộ quản lí tổng hợp đề thi và gửi Khảo thí.2. Thi tại lớp học."
JPD123,Kiểm tra nhỏ (small test),on-going,2,20.0%,>0,30',"CLO1,2",Trắc nghiệm,25~35 câu,"1) Small test 1: Từ vựng, ngữ pháp, chữ Hán bài 4Small test 2: Từ vựng, ngữ pháp, chữ Hán bài 62) Kỹ năng: đọc",Phần mềm EOS hoặc phần mềm thi trên mạng.,"Giảng viên phụ trách tự ra đề, chấm bài và tổng hợp điểm"
